order_id,customer_id,amount,status,placed_at
173,36,104.85,cancelled,2026-01-01
174,18,47.09,paid,2026-04-12
175,37,493.31,paid,2026-04-10
176,21,51.14,paid,2025-11-03
177,49,144.79,paid,2026-01-25
178,21,377.16,pending,2026-02-27
179,45,338.97,paid,2025-08-20
180,7,253.58,pending,2026-04-22
181,38,399.05,paid,2026-04-15
182,19,84.81,paid,2026-03-25
183,41,51.18,pending,2026-01-14
184,44,328.84,pending,2026-02-11
185,33,260.57,pending,2025-06-05
186,34,465.46,paid,2026-02-26
187,22,148.97,paid,2025-09-26
188,3,445.89,pending,2025-10-18
189,16,108.37,paid,2026-03-27
190,10,285.62,refunded,2026-03-16
191,1,75.6,cancelled,2025-07-28
192,6,251.96,paid,2026-02-07
193,19,84.93,paid,2025-10-30
194,23,49.17,paid,2025-09-11
195,17,493.14,refunded,2025-09-20
196,42,462.46,cancelled,2025-07-17
197,32,24.6,cancelled,2025-10-11
198,27,429.22,cancelled,2026-02-27
199,29,186.53,pending,2025-11-25
200,24,46.33,paid,2025-09-16
201,17,439.32,refunded,2026-04-13
202,40,488.83,paid,2025-12-30
203,45,411.51,paid,2026-03-12
204,19,191.03,paid,2026-03-28
205,15,197.17,paid,2026-03-18
206,23,235.61,paid,2025-09-08
207,7,47.48,pending,2025-10-13
208,50,219.39,paid,2026-04-01
209,21,174.5,paid,2026-01-16
210,45,371.94,paid,2025-09-14
211,3,274.82,cancelled,2026-02-19
212,41,110.67,paid,2025-07-01
213,50,193.24,cancelled,2025-10-31
214,28,489.39,paid,2026-01-16
215,2,476.56,paid,2025-12-17
216,17,319.67,paid,2026-03-30
217,18,205.51,paid,2025-05-05
218,29,436.29,paid,2025-05-27
219,17,96.12,paid,2025-09-27
220,22,481.87,paid,2026-01-23
221,23,471.26,paid,2025-08-03
222,45,393.01,refunded,2025-09-23
223,23,456.74,paid,2026-04-29
224,36,392.62,paid,2026-03-26
225,47,335.64,paid,2025-11-20
226,43,493.25,cancelled,2025-11-23
227,1,79.5,paid,2026-02-18
228,32,432.83,paid,2025-05-24
229,27,135.09,pending,2025-09-16
230,9,318.98,paid,2025-07-12
231,7,23.06,pending,2026-01-28
232,27,349.74,pending,2025-07-01
233,25,111.99,paid,2026-01-27
234,44,290.53,paid,2025-10-30
235,2,154.46,paid,2026-03-02
236,45,252.07,refunded,2025-10-05
237,27,179.11,pending,2025-09-28
238,34,487.16,paid,2026-02-03
239,30,217.05,paid,2025-07-04
240,11,273.67,paid,2025-06-01
241,45,341.74,paid,2025-05-10
242,40,469.26,cancelled,2026-03-15
243,6,403.94,paid,2025-06-06
244,2,310.05,paid,2025-08-23
245,48,377.1,cancelled,2026-03-14
246,41,224.83,paid,2026-04-18
247,43,148.5,paid,2026-01-10
248,50,230.04,paid,2026-01-24
249,31,475.52,paid,2025-09-09
250,27,454.46,paid,2025-10-14
251,1,470.11,pending,2025-08-18
252,19,137.47,paid,2025-11-28
253,27,338.28,paid,2025-10-04
254,3,12.69,paid,2025-10-25
255,34,410.92,paid,2025-11-14
256,11,479.78,refunded,2026-01-01
257,36,486.88,paid,2025-06-09
258,26,415.13,pending,2025-07-13
259,28,68.79,paid,2026-02-05
260,26,452.56,paid,2025-09-23
261,15,54.29,pending,2025-08-19
262,8,317.56,pending,2025-06-17
263,17,419.48,paid,2025-11-20
264,14,51.16,paid,2026-04-29
265,41,386.17,paid,2025-06-22
266,46,274.12,refunded,2025-07-16
267,25,17.52,pending,2025-09-14
268,41,317.59,paid,2026-01-02
269,42,449.47,paid,2025-08-03
270,16,364.52,pending,2025-10-23
271,50,133.94,paid,2026-03-23
272,10,315.58,paid,2025-07-12
273,7,59.91,cancelled,2026-03-03
274,7,75.21,paid,2026-02-01
275,6,43.3,pending,2026-01-18
276,26,54.83,pending,2025-10-05
277,5,245.83,paid,2026-01-17
278,44,212.85,cancelled,2025-06-14
279,29,405.23,paid,2026-04-29
280,12,331.53,paid,2026-04-18
281,8,488.08,refunded,2025-08-30
282,40,302.0,paid,2025-08-10
283,48,130.98,paid,2025-06-28
284,2,270.3,paid,2026-02-15
285,14,434.1,paid,2026-01-13
286,2,167.13,paid,2025-05-15
287,9,137.46,paid,2026-03-18
288,23,355.5,paid,2025-09-07
289,48,405.46,paid,2025-10-12
290,13,128.8,paid,2025-12-12
291,26,55.93,pending,2025-07-08
292,20,87.0,paid,2025-08-28
293,28,442.01,paid,2025-12-16
294,21,313.34,paid,2025-09-27
295,13,285.74,paid,2025-06-15
296,5,227.45,cancelled,2025-08-16
297,17,295.5,paid,2025-06-08
298,34,179.37,paid,2026-02-01
299,21,217.55,paid,2025-12-30
300,5,111.52,paid,2026-02-19
301,50,160.65,paid,2025-05-17
302,1,359.82,paid,2025-07-18
303,21,449.88,paid,2025-10-19
304,19,302.89,paid,2026-03-13
305,36,142.63,paid,2025-05-26
306,5,289.1,paid,2025-05-20
307,49,220.43,pending,2026-01-23
308,13,29.58,paid,2026-04-11
309,18,213.51,paid,2026-02-06
310,39,166.8,paid,2025-07-13
311,2,146.09,paid,2025-07-14
312,1,456.26,paid,2025-10-10
313,3,448.44,cancelled,2026-04-14
314,22,324.16,paid,2026-03-17
315,27,363.01,paid,2025-11-08
316,26,44.48,pending,2025-08-25
317,40,28.3,paid,2025-09-14
318,32,425.09,refunded,2026-03-03
319,24,469.16,paid,2026-01-10
320,4,413.6,paid,2025-11-20
321,45,363.51,paid,2026-03-20
322,13,363.43,pending,2025-08-02
323,1,467.38,cancelled,2025-12-23
324,3,59.85,cancelled,2026-03-27
325,17,168.02,paid,2025-10-22
326,18,350.84,cancelled,2025-07-10
327,30,64.35,paid,2026-02-18
328,49,294.14,cancelled,2025-10-05
329,41,226.16,paid,2025-08-07
330,16,291.05,paid,2025-12-12
331,21,387.46,paid,2026-03-18
332,17,384.27,pending,2025-11-05
333,36,418.59,paid,2025-06-07
334,48,428.65,paid,2026-03-27
335,32,34.83,paid,2026-01-14
336,30,410.16,paid,2026-03-12
337,22,108.29,paid,2025-08-07
338,33,429.94,pending,2025-11-26
339,46,229.74,paid,2025-08-19
340,7,457.49,paid,2025-10-30
341,25,487.66,cancelled,2025-08-15
342,13,391.11,paid,2025-12-13
343,28,86.28,paid,2025-07-13
344,42,55.52,paid,2026-03-11
345,48,59.55,paid,2025-09-11
346,12,137.04,paid,2025-08-06
347,29,179.22,paid,2025-07-27
348,6,180.44,paid,2025-10-13
349,33,218.27,paid,2025-09-21
350,18,188.04,paid,2025-10-21
351,47,464.37,paid,2026-01-28
352,26,92.44,paid,2025-06-27
353,32,261.72,paid,2026-04-09
354,42,128.23,paid,2026-03-07
355,4,448.05,paid,2026-01-02
356,5,268.41,paid,2025-06-21
357,45,359.33,paid,2026-03-14
358,15,368.29,cancelled,2025-12-18
359,32,106.82,pending,2025-11-08
360,41,147.56,paid,2026-05-03
361,7,96.61,cancelled,2025-06-20
362,31,370.85,cancelled,2025-05-17
363,16,89.27,paid,2026-02-08
364,12,169.42,paid,2026-04-28
365,43,239.93,paid,2026-02-03
366,17,441.22,paid,2026-04-30
367,39,179.31,paid,2026-05-04
368,32,437.24,paid,2026-04-11
369,2,285.8,refunded,2026-01-08
370,34,254.06,pending,2026-03-17
371,7,155.78,pending,2025-09-15
372,32,368.73,refunded,2025-12-24
373,43,245.81,paid,2026-04-28
374,23,154.06,paid,2025-08-12
375,50,333.65,cancelled,2025-07-03
376,31,60.82,paid,2025-06-11
377,2,78.21,paid,2026-01-12
378,43,497.07,paid,2026-04-19
379,16,290.9,paid,2025-09-26
380,24,107.12,paid,2025-10-23
381,41,58.43,paid,2025-06-18
382,44,274.73,cancelled,2025-08-08
383,12,136.33,paid,2025-11-16
384,26,296.63,cancelled,2025-12-14
385,20,99.33,paid,2025-05-10
386,22,417.91,paid,2025-09-14
387,37,484.24,pending,2025-12-08
388,8,484.89,paid,2025-05-19
389,10,235.83,paid,2025-12-07
390,40,281.28,paid,2025-08-28
391,19,36.99,paid,2025-09-14
392,3,112.58,pending,2026-03-02
393,4,246.74,paid,2025-11-05
394,43,417.88,paid,2026-02-23
395,23,439.97,pending,2025-08-20
396,43,479.47,paid,2026-03-21
397,46,138.98,refunded,2026-01-24
398,28,294.69,paid,2026-01-12
399,3,239.22,paid,2025-05-22
400,41,196.19,paid,2026-03-15
401,17,460.5,paid,2026-02-05
402,37,220.73,cancelled,2025-07-12
403,9,343.24,paid,2026-02-24
404,27,279.37,paid,2026-03-22
405,20,285.5,paid,2025-07-29
406,12,191.1,cancelled,2025-09-23
407,7,73.61,paid,2025-11-25
408,33,467.77,pending,2025-09-07
409,23,216.7,paid,2025-10-06
410,30,18.7,paid,2025-10-01
411,6,379.15,paid,2025-12-01
412,16,292.26,paid,2025-06-21
413,35,450.46,cancelled,2026-04-07
414,49,423.33,paid,2025-05-26
415,1,234.09,pending,2025-08-12
416,30,420.4,paid,2025-12-17
417,42,57.99,paid,2025-12-07
418,37,243.33,paid,2026-04-03
419,8,371.53,paid,2026-04-07
420,45,106.51,paid,2025-08-24
421,9,115.65,paid,2026-02-14
422,20,315.98,pending,2026-05-01
423,32,313.71,paid,2026-03-31
424,1,80.75,cancelled,2025-08-11
425,7,127.37,paid,2026-04-22
426,33,224.69,paid,2026-03-03
427,20,205.26,refunded,2026-01-04
428,35,133.83,paid,2025-09-22
429,43,310.49,paid,2025-06-13
430,2,96.48,pending,2025-06-02
431,16,89.53,pending,2025-07-29
432,13,240.7,paid,2025-05-28
433,7,479.75,paid,2025-05-28
434,18,198.64,paid,2026-03-11
435,30,211.36,paid,2026-04-20
436,19,231.26,paid,2026-04-29
437,38,154.87,paid,2025-06-02
438,40,225.02,cancelled,2025-11-04
439,9,236.61,pending,2025-12-14
440,1,490.97,paid,2025-08-20
441,14,177.67,pending,2025-10-17
442,33,36.07,paid,2025-11-05
443,42,361.01,paid,2026-02-22
444,18,393.56,paid,2025-10-15
445,5,458.5,paid,2025-10-24
446,31,304.89,paid,2025-05-07
447,33,388.82,paid,2026-02-27
448,45,165.42,refunded,2025-11-07
449,38,310.65,paid,2026-04-11
450,2,426.76,paid,2026-03-16
451,43,57.58,cancelled,2025-09-03
452,21,381.16,refunded,2026-01-03
453,7,450.4,paid,2025-10-20
454,49,486.79,cancelled,2026-04-03
455,40,128.99,paid,2026-03-28
456,29,382.86,paid,2026-04-19
457,12,163.97,paid,2025-10-23
458,9,494.49,paid,2026-01-22
459,13,129.98,paid,2025-12-09
460,15,104.59,paid,2025-08-07
461,13,47.58,paid,2025-05-27
462,7,105.75,pending,2026-05-02
463,24,388.32,paid,2026-03-29
464,22,96.73,pending,2025-06-10
465,34,250.61,pending,2025-07-16
466,31,252.92,paid,2025-07-22
467,9,401.79,paid,2025-06-18
468,25,437.62,paid,2026-02-28
469,34,152.62,paid,2026-01-06
470,4,302.74,paid,2026-01-10
471,19,461.53,paid,2025-05-09
472,23,38.64,cancelled,2025-12-08
473,5,269.54,paid,2025-08-12
474,40,252.52,paid,2026-04-05
475,35,350.27,paid,2025-09-05
476,17,328.35,paid,2025-10-01
477,17,104.25,cancelled,2026-04-04
478,9,106.1,pending,2025-11-17
479,49,333.35,cancelled,2026-01-04
480,32,41.09,cancelled,2025-06-26
481,45,418.33,pending,2025-11-08
482,5,475.2,paid,2025-06-25
483,6,444.32,paid,2026-02-27
484,18,363.05,paid,2025-08-23
485,33,116.5,paid,2025-09-02
486,20,391.86,cancelled,2026-01-08
487,2,465.97,paid,2026-01-24
488,35,306.03,paid,2025-05-19
489,48,13.96,paid,2025-10-18
490,50,191.73,paid,2025-05-10
491,28,277.02,paid,2026-03-05
492,40,491.35,paid,2026-01-25
493,22,221.08,paid,2026-01-06
494,6,296.37,paid,2025-08-03
495,37,27.66,pending,2025-12-28
496,4,42.92,paid,2026-02-01
497,19,26.64,paid,2025-06-03
498,16,499.05,paid,2025-10-13
499,31,330.5,paid,2026-03-26
500,17,469.49,paid,2025-05-08
