divNo,mainCode,productCode,sumOfCases,startingStoreCount,year1,year2,year3,year4,year5,year6,fcYear1,fcYear2,fcYear3,fcYear4,fcYear5,fcYear6,supplierNo,lySales
7,100057,100057,333.9,224,2026,2027,2028,2029,2030,2031,49.2,48.9,57.1,54.6,61.1,63.0,10006,448
8,100057,100057,330.2,128,2026,2027,2028,2029,2030,2031,62.0,57.1,56.2,45.2,49.7,60.0,10006,717
997,100057,100057,333.6,127,2026,2027,2028,2029,2030,2031,58.2,50.2,61.7,60.8,53.6,49.1,10006,703
4,100058,100058,653.8,173,2026,2027,2028,2029,2030,2031,120.0,115.5,105.7,106.8,95.8,110.0,10004,447
1,100058,100058,669.1,126,2026,2027,2028,2029,2030,2031,120.8,108.5,116.3,95.1,111.0,117.4,10004,492
17,100058,100058,617.1,131,2026,2027,2028,2029,2030,2031,104.1,94.3,87.9,116.2,114.5,100.1,10004,671
998,100058,100058,636.6,59,2026,2027,2028,2029,2030,2031,111.3,109.0,121.1,95.0,100.6,99.6,10004,636
11,100059,100059,823.3,265,2026,2027,2028,2029,2030,2031,129.6,140.6,145.9,135.6,128.4,143.2,10012,1094
999,100059,100059,784.0,283,2026,2027,2028,2029,2030,2031,130.7,119.1,126.8,138.7,138.0,130.7,10012,809
8,100059,100059,747.4,251,2026,2027,2028,2029,2030,2031,136.0,120.9,110.2,121.8,138.8,119.7,10012,1232
998,100059,100059,734.9,198,2026,2027,2028,2029,2030,2031,122.5,131.9,126.5,111.4,108.6,134.0,10012,1266
7,100060,100060,709.9,101,2026,2027,2028,2029,2030,2031,104.4,127.3,121.1,116.4,135.1,105.6,10016,635
17,100060,100060,762.7,70,2026,2027,2028,2029,2030,2031,139.9,136.0,139.9,105.3,134.8,106.8,10016,696
11,100061,100061,355.8,249,2026,2027,2028,2029,2030,2031,58.5,53.6,65.0,61.0,52.5,65.2,10016,1047
997,100061,100061,357.6,101,2026,2027,2028,2029,2030,2031,61.8,62.2,57.5,68.9,57.1,50.1,10016,1584
2,100061,100061,359.9,237,2026,2027,2028,2029,2030,2031,68.6,67.4,64.7,60.1,49.7,49.4,10016,1182
1,100061,100061,342.7,260,2026,2027,2028,2029,2030,2031,63.4,56.3,51.9,57.1,61.3,52.7,10016,1012
17,100062,100062,423.5,92,2026,2027,2028,2029,2030,2031,67.1,73.1,60.1,80.3,68.4,74.5,10011,1020
20,100062,100062,415.4,200,2026,2027,2028,2029,2030,2031,78.5,66.4,62.3,74.0,60.0,74.2,10011,806
11,100062,100062,421.6,209,2026,2027,2028,2029,2030,2031,59.8,73.6,75.5,65.7,72.0,75.0,10011,586
997,100063,100063,307.3,102,2026,2027,2028,2029,2030,2031,46.8,48.1,54.3,48.2,50.7,59.2,10015,723
1,100063,100063,334.5,85,2026,2027,2028,2029,2030,2031,57.8,51.6,58.4,58.4,51.0,57.3,10015,616
20,100064,100064,321.2,299,2026,2027,2028,2029,2030,2031,47.4,56.2,51.2,53.2,56.1,57.1,10016,328
4,100064,100064,301.8,134,2026,2027,2028,2029,2030,2031,54.8,47.7,43.2,51.2,46.1,58.8,10016,336
4,100065,100065,441.4,115,2026,2027,2028,2029,2030,2031,81.3,67.7,66.1,77.2,82.7,66.4,10001,1955
19,100065,100065,472.7,268,2026,2027,2028,2029,2030,2031,75.7,89.4,70.7,65.1,85.1,86.7,10001,1573
4,100066,100066,390.3,73,2026,2027,2028,2029,2030,2031,68.2,57.3,61.4,63.2,67.3,72.9,10014,2094
2,100066,100066,384.0,172,2026,2027,2028,2029,2030,2031,61.1,56.1,62.4,63.6,72.0,68.8,10014,2676
1,100066,100066,393.0,90,2026,2027,2028,2029,2030,2031,67.9,71.1,56.0,68.9,54.8,74.3,10014,1728
5,100066,100066,404.8,206,2026,2027,2028,2029,2030,2031,73.6,64.2,66.1,63.2,67.0,70.7,10014,1626
5,100067,100067,701.7,240,2026,2027,2028,2029,2030,2031,117.5,102.0,126.3,100.0,135.0,120.9,10017,4405
16,100067,100067,751.3,74,2026,2027,2028,2029,2030,2031,122.6,139.5,126.9,113.3,120.9,128.1,10017,4042
4,100067,100067,739.5,278,2026,2027,2028,2029,2030,2031,129.2,119.2,126.6,125.7,105.5,133.3,10017,5444
14,100067,100067,737.0,69,2026,2027,2028,2029,2030,2031,101.7,125.8,105.9,134.2,134.3,135.1,10017,4847
9,100068,100068,357.9,164,2026,2027,2028,2029,2030,2031,54.7,63.4,58.5,55.0,59.6,66.7,10012,799
2,100068,100068,362.0,59,2026,2027,2028,2029,2030,2031,60.4,56.7,70.4,65.5,50.5,58.5,10012,1098
17,100068,100068,344.7,102,2026,2027,2028,2029,2030,2031,50.2,52.0,62.6,62.9,56.4,60.6,10012,1160
12,100069,100069,452.2,165,2026,2027,2028,2029,2030,2031,81.3,68.6,79.4,75.3,78.2,69.4,10016,327
2,100069,100069,446.8,183,2026,2027,2028,2029,2030,2031,79.2,65.9,68.8,81.0,84.3,67.6,10016,393
8,100069,100069,448.3,115,2026,2027,2028,2029,2030,2031,63.0,82.6,72.6,80.8,78.8,70.5,10016,454
7,100070,100070,395.0,222,2026,2027,2028,2029,2030,2031,74.0,59.6,62.9,72.5,56.3,69.7,10013,821
15,100070,100070,410.4,185,2026,2027,2028,2029,2030,2031,72.8,65.5,70.2,77.0,58.3,66.6,10013,890
19,100071,100071,505.8,132,2026,2027,2028,2029,2030,2031,89.6,74.7,93.1,72.7,88.6,87.1,10020,2959
16,100071,100071,541.1,298,2026,2027,2028,2029,2030,2031,80.7,97.8,96.0,91.6,77.6,97.4,10020,2587
17,100071,100071,526.9,190,2026,2027,2028,2029,2030,2031,92.8,73.7,87.0,95.1,84.4,93.9,10020,3590
6,100071,100071,515.6,138,2026,2027,2028,2029,2030,2031,90.1,96.5,87.9,75.5,87.6,78.0,10020,3698
997,100072,100072,2141.2,196,2026,2027,2028,2029,2030,2031,368.5,392.4,345.7,319.7,349.4,365.5,10014,3634
6,100072,100072,2347.6,53,2026,2027,2028,2029,2030,2031,394.4,389.9,417.5,372.2,415.4,358.2,10014,2911
2,100073,100073,3765.5,65,2026,2027,2028,2029,2030,2031,534.9,580.2,691.8,734.5,669.8,554.3,10011,12335
998,100073,100073,3753.4,239,2026,2027,2028,2029,2030,2031,586.3,685.0,529.7,698.0,544.8,709.6,10011,11481
