Item  Code,Description,CG,SCG,Year,Team
100030,Meat item 100030,09 - Meat,02 - Meat subgroup 2,2027,
100030,Meat item 100030,09 - Meat,02 - Meat subgroup 2,2028,SST
100030,Meat item 100030,09 - Meat,02 - Meat subgroup 2,2029,SST
100030,Meat item 100030,09 - Meat,02 - Meat subgroup 2,2030,SST
100030,Meat item 100030,09 - Meat,02 - Meat subgroup 2,2031,SST
100013,Beverage item 100013,11 - Beverage,04 - Beverage subgroup 4,2027,SST
100013,Beverage item 100013,11 - Beverage,04 - Beverage subgroup 4,2028,
100013,Beverage item 100013,11 - Beverage,04 - Beverage subgroup 4,2029,
100013,Beverage item 100013,11 - Beverage,04 - Beverage subgroup 4,2030,SST
100013,Beverage item 100013,11 - Beverage,04 - Beverage subgroup 4,2031,
100051,Frozen item 100051,08 - Frozen,03 - Frozen subgroup 3,2027,VCO
100051,Frozen item 100051,08 - Frozen,03 - Frozen subgroup 3,2028,SST
100051,Frozen item 100051,08 - Frozen,03 - Frozen subgroup 3,2029,
100051,Frozen item 100051,08 - Frozen,03 - Frozen subgroup 3,2030,
100051,Frozen item 100051,08 - Frozen,03 - Frozen subgroup 3,2031,
100061,Beverage item 100061,11 - Beverage,05 - Beverage subgroup 5,2027,
100061,Beverage item 100061,11 - Beverage,05 - Beverage subgroup 5,2028,SST
100061,Beverage item 100061,11 - Beverage,05 - Beverage subgroup 5,2029,SST
100061,Beverage item 100061,11 - Beverage,05 - Beverage subgroup 5,2030,SST
100061,Beverage item 100061,11 - Beverage,05 - Beverage subgroup 5,2031,
100152,Seafood item 100152,12 - Seafood,01 - Seafood subgroup 1,2027,SST
100152,Seafood item 100152,12 - Seafood,01 - Seafood subgroup 1,2028,VCO
100152,Seafood item 100152,12 - Seafood,01 - Seafood subgroup 1,2029,SST
100152,Seafood item 100152,12 - Seafood,01 - Seafood subgroup 1,2030,SST
100152,Seafood item 100152,12 - Seafood,01 - Seafood subgroup 1,2031,SST
100150,Produce item 100150,06 - Produce,05 - Produce subgroup 5,2027,SST
100150,Produce item 100150,06 - Produce,05 - Produce subgroup 5,2028,VCO
100150,Produce item 100150,06 - Produce,05 - Produce subgroup 5,2029,VCO
100150,Produce item 100150,06 - Produce,05 - Produce subgroup 5,2030,SST
100150,Produce item 100150,06 - Produce,05 - Produce subgroup 5,2031,SST
100060,Beverage item 100060,11 - Beverage,02 - Beverage subgroup 2,2027,
100060,Beverage item 100060,11 - Beverage,02 - Beverage subgroup 2,2028,
100060,Beverage item 100060,11 - Beverage,02 - Beverage subgroup 2,2029,
100060,Beverage item 100060,11 - Beverage,02 - Beverage subgroup 2,2030,VCO
100060,Beverage item 100060,11 - Beverage,02 - Beverage subgroup 2,2031,VCO
100126,Sparkling wine item 100126,02 - Sparkling wine,04 - Sparkling wine subgroup 4,2027,VCO
100126,Sparkling wine item 100126,02 - Sparkling wine,04 - Sparkling wine subgroup 4,2028,SST
100126,Sparkling wine item 100126,02 - Sparkling wine,04 - Sparkling wine subgroup 4,2029,SST
100126,Sparkling wine item 100126,02 - Sparkling wine,04 - Sparkling wine subgroup 4,2030,VCO
100126,Sparkling wine item 100126,02 - Sparkling wine,04 - Sparkling wine subgroup 4,2031,SST
100130,Beverage item 100130,11 - Beverage,04 - Beverage subgroup 4,2027,
100130,Beverage item 100130,11 - Beverage,04 - Beverage subgroup 4,2028,SST
100130,Beverage item 100130,11 - Beverage,04 - Beverage subgroup 4,2029,SST
100130,Beverage item 100130,11 - Beverage,04 - Beverage subgroup 4,2030,VCO
100130,Beverage item 100130,11 - Beverage,04 - Beverage subgroup 4,2031,VCO
100129,Bakery item 100129,01 - Bakery,03 - Bakery subgroup 3,2027,
100129,Bakery item 100129,01 - Bakery,03 - Bakery subgroup 3,2028,SST
100129,Bakery item 100129,01 - Bakery,03 - Bakery subgroup 3,2029,SST
100129,Bakery item 100129,01 - Bakery,03 - Bakery subgroup 3,2030,SST
100129,Bakery item 100129,01 - Bakery,03 - Bakery subgroup 3,2031,SST
100098,Meat item 100098,09 - Meat,04 - Meat subgroup 4,2027,SST
100098,Meat item 100098,09 - Meat,04 - Meat subgroup 4,2028,VCO
100098,Meat item 100098,09 - Meat,04 - Meat subgroup 4,2029,SST
100098,Meat item 100098,09 - Meat,04 - Meat subgroup 4,2030,VCO
100098,Meat item 100098,09 - Meat,04 - Meat subgroup 4,2031,SST
100029,Bakery item 100029,01 - Bakery,03 - Bakery subgroup 3,2027,
100029,Bakery item 100029,01 - Bakery,03 - Bakery subgroup 3,2028,SST
100029,Bakery item 100029,01 - Bakery,03 - Bakery subgroup 3,2029,VCO
100029,Bakery item 100029,01 - Bakery,03 - Bakery subgroup 3,2030,VCO
100029,Bakery item 100029,01 - Bakery,03 - Bakery subgroup 3,2031,VCO
100068,Wine item 100068,03 - Wine,02 - Wine subgroup 2,2027,SST
100068,Wine item 100068,03 - Wine,02 - Wine subgroup 2,2028,SST
100068,Wine item 100068,03 - Wine,02 - Wine subgroup 2,2029,VCO
100068,Wine item 100068,03 - Wine,02 - Wine subgroup 2,2030,
100068,Wine item 100068,03 - Wine,02 - Wine subgroup 2,2031,
100189,Meat item 100189,09 - Meat,03 - Meat subgroup 3,2027,SST
100189,Meat item 100189,09 - Meat,03 - Meat subgroup 3,2028,SST
100189,Meat item 100189,09 - Meat,03 - Meat subgroup 3,2029,SST
100189,Meat item 100189,09 - Meat,03 - Meat subgroup 3,2030,
100189,Meat item 100189,09 - Meat,03 - Meat subgroup 3,2031,SST
100179,Beer item 100179,04 - Beer,02 - Beer subgroup 2,2027,VCO
100179,Beer item 100179,04 - Beer,02 - Beer subgroup 2,2028,SST
100179,Beer item 100179,04 - Beer,02 - Beer subgroup 2,2029,
100179,Beer item 100179,04 - Beer,02 - Beer subgroup 2,2030,SST
100179,Beer item 100179,04 - Beer,02 - Beer subgroup 2,2031,
100118,Snacks item 100118,07 - Snacks,05 - Snacks subgroup 5,2027,VCO
100118,Snacks item 100118,07 - Snacks,05 - Snacks subgroup 5,2028,SST
100118,Snacks item 100118,07 - Snacks,05 - Snacks subgroup 5,2029,VCO
100118,Snacks item 100118,07 - Snacks,05 - Snacks subgroup 5,2030,VCO
100118,Snacks item 100118,07 - Snacks,05 - Snacks subgroup 5,2031,
100141,Beer item 100141,04 - Beer,05 - Beer subgroup 5,2027,VCO
100141,Beer item 100141,04 - Beer,05 - Beer subgroup 5,2028,VCO
100141,Beer item 100141,04 - Beer,05 - Beer subgroup 5,2029,
100141,Beer item 100141,04 - Beer,05 - Beer subgroup 5,2030,SST
100141,Beer item 100141,04 - Beer,05 - Beer subgroup 5,2031,
100192,Frozen item 100192,08 - Frozen,04 - Frozen subgroup 4,2027,VCO
100192,Frozen item 100192,08 - Frozen,04 - Frozen subgroup 4,2028,
100192,Frozen item 100192,08 - Frozen,04 - Frozen subgroup 4,2029,VCO
100192,Frozen item 100192,08 - Frozen,04 - Frozen subgroup 4,2030,SST
100192,Frozen item 100192,08 - Frozen,04 - Frozen subgroup 4,2031,SST
100016,Sparkling wine item 100016,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2027,SST
100016,Sparkling wine item 100016,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2028,SST
100016,Sparkling wine item 100016,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2029,SST
100016,Sparkling wine item 100016,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2030,SST
100016,Sparkling wine item 100016,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2031,SST
100123,Seafood item 100123,12 - Seafood,04 - Seafood subgroup 4,2027,VCO
100123,Seafood item 100123,12 - Seafood,04 - Seafood subgroup 4,2028,SST
100123,Seafood item 100123,12 - Seafood,04 - Seafood subgroup 4,2029,
100123,Seafood item 100123,12 - Seafood,04 - Seafood subgroup 4,2030,VCO
100123,Seafood item 100123,12 - Seafood,04 - Seafood subgroup 4,2031,SST
100007,Dairy item 100007,05 - Dairy,05 - Dairy subgroup 5,2027,SST
100007,Dairy item 100007,05 - Dairy,05 - Dairy subgroup 5,2028,SST
100007,Dairy item 100007,05 - Dairy,05 - Dairy subgroup 5,2029,VCO
100007,Dairy item 100007,05 - Dairy,05 - Dairy subgroup 5,2030,VCO
100007,Dairy item 100007,05 - Dairy,05 - Dairy subgroup 5,2031,SST
100156,Frozen item 100156,08 - Frozen,05 - Frozen subgroup 5,2027,VCO
100156,Frozen item 100156,08 - Frozen,05 - Frozen subgroup 5,2028,VCO
100156,Frozen item 100156,08 - Frozen,05 - Frozen subgroup 5,2029,SST
100156,Frozen item 100156,08 - Frozen,05 - Frozen subgroup 5,2030,VCO
100156,Frozen item 100156,08 - Frozen,05 - Frozen subgroup 5,2031,SST
100059,Beer item 100059,04 - Beer,04 - Beer subgroup 4,2027,VCO
100059,Beer item 100059,04 - Beer,04 - Beer subgroup 4,2028,VCO
100059,Beer item 100059,04 - Beer,04 - Beer subgroup 4,2029,VCO
100059,Beer item 100059,04 - Beer,04 - Beer subgroup 4,2030,SST
100059,Beer item 100059,04 - Beer,04 - Beer subgroup 4,2031,VCO
100004,Produce item 100004,06 - Produce,03 - Produce subgroup 3,2027,SST
100004,Produce item 100004,06 - Produce,03 - Produce subgroup 3,2028,SST
100004,Produce item 100004,06 - Produce,03 - Produce subgroup 3,2029,SST
100004,Produce item 100004,06 - Produce,03 - Produce subgroup 3,2030,VCO
100004,Produce item 100004,06 - Produce,03 - Produce subgroup 3,2031,
100161,Beverage item 100161,11 - Beverage,04 - Beverage subgroup 4,2027,SST
100161,Beverage item 100161,11 - Beverage,04 - Beverage subgroup 4,2028,SST
100161,Beverage item 100161,11 - Beverage,04 - Beverage subgroup 4,2029,VCO
100161,Beverage item 100161,11 - Beverage,04 - Beverage subgroup 4,2030,SST
100161,Beverage item 100161,11 - Beverage,04 - Beverage subgroup 4,2031,
100188,Produce item 100188,06 - Produce,05 - Produce subgroup 5,2027,VCO
100188,Produce item 100188,06 - Produce,05 - Produce subgroup 5,2028,SST
100188,Produce item 100188,06 - Produce,05 - Produce subgroup 5,2029,SST
100188,Produce item 100188,06 - Produce,05 - Produce subgroup 5,2030,VCO
100188,Produce item 100188,06 - Produce,05 - Produce subgroup 5,2031,
100180,Beer item 100180,04 - Beer,02 - Beer subgroup 2,2027,SST
100180,Beer item 100180,04 - Beer,02 - Beer subgroup 2,2028,SST
100180,Beer item 100180,04 - Beer,02 - Beer subgroup 2,2029,VCO
100180,Beer item 100180,04 - Beer,02 - Beer subgroup 2,2030,VCO
100180,Beer item 100180,04 - Beer,02 - Beer subgroup 2,2031,VCO
100063,Confectionery item 100063,10 - Confectionery,04 - Confectionery subgroup 4,2027,VCO
100063,Confectionery item 100063,10 - Confectionery,04 - Confectionery subgroup 4,2028,
100063,Confectionery item 100063,10 - Confectionery,04 - Confectionery subgroup 4,2029,SST
100063,Confectionery item 100063,10 - Confectionery,04 - Confectionery subgroup 4,2030,SST
100063,Confectionery item 100063,10 - Confectionery,04 - Confectionery subgroup 4,2031,
100142,Snacks item 100142,07 - Snacks,03 - Snacks subgroup 3,2027,VCO
100142,Snacks item 100142,07 - Snacks,03 - Snacks subgroup 3,2028,SST
100142,Snacks item 100142,07 - Snacks,03 - Snacks subgroup 3,2029,VCO
100142,Snacks item 100142,07 - Snacks,03 - Snacks subgroup 3,2030,SST
100142,Snacks item 100142,07 - Snacks,03 - Snacks subgroup 3,2031,VCO
100032,Seafood item 100032,12 - Seafood,01 - Seafood subgroup 1,2027,SST
100032,Seafood item 100032,12 - Seafood,01 - Seafood subgroup 1,2028,VCO
100032,Seafood item 100032,12 - Seafood,01 - Seafood subgroup 1,2029,SST
100032,Seafood item 100032,12 - Seafood,01 - Seafood subgroup 1,2030,SST
100032,Seafood item 100032,12 - Seafood,01 - Seafood subgroup 1,2031,VCO
100077,Wine item 100077,03 - Wine,04 - Wine subgroup 4,2027,
100077,Wine item 100077,03 - Wine,04 - Wine subgroup 4,2028,VCO
100077,Wine item 100077,03 - Wine,04 - Wine subgroup 4,2029,SST
100077,Wine item 100077,03 - Wine,04 - Wine subgroup 4,2030,
100077,Wine item 100077,03 - Wine,04 - Wine subgroup 4,2031,SST
100169,Produce item 100169,06 - Produce,01 - Produce subgroup 1,2027,VCO
100169,Produce item 100169,06 - Produce,01 - Produce subgroup 1,2028,
100169,Produce item 100169,06 - Produce,01 - Produce subgroup 1,2029,SST
100169,Produce item 100169,06 - Produce,01 - Produce subgroup 1,2030,
100169,Produce item 100169,06 - Produce,01 - Produce subgroup 1,2031,
100114,Sparkling wine item 100114,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2027,VCO
100114,Sparkling wine item 100114,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2028,SST
100114,Sparkling wine item 100114,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2029,SST
100114,Sparkling wine item 100114,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2030,
100114,Sparkling wine item 100114,02 - Sparkling wine,01 - Sparkling wine subgroup 1,2031,
100021,Beer item 100021,04 - Beer,02 - Beer subgroup 2,2027,
100021,Beer item 100021,04 - Beer,02 - Beer subgroup 2,2028,SST
100021,Beer item 100021,04 - Beer,02 - Beer subgroup 2,2029,
100021,Beer item 100021,04 - Beer,02 - Beer subgroup 2,2030,SST
100021,Beer item 100021,04 - Beer,02 - Beer subgroup 2,2031,VCO
100128,Confectionery item 100128,10 - Confectionery,03 - Confectionery subgroup 3,2027,VCO
100128,Confectionery item 100128,10 - Confectionery,03 - Confectionery subgroup 3,2028,VCO
100128,Confectionery item 100128,10 - Confectionery,03 - Confectionery subgroup 3,2029,
100128,Confectionery item 100128,10 - Confectionery,03 - Confectionery subgroup 3,2030,VCO
100128,Confectionery item 100128,10 - Confectionery,03 - Confectionery subgroup 3,2031,
100052,Bakery item 100052,01 - Bakery,03 - Bakery subgroup 3,2027,VCO
100052,Bakery item 100052,01 - Bakery,03 - Bakery subgroup 3,2028,SST
100052,Bakery item 100052,01 - Bakery,03 - Bakery subgroup 3,2029,
100052,Bakery item 100052,01 - Bakery,03 - Bakery subgroup 3,2030,
100052,Bakery item 100052,01 - Bakery,03 - Bakery subgroup 3,2031,VCO
100178,Sparkling wine item 100178,02 - Sparkling wine,02 - Sparkling wine subgroup 2,2027,SST
100178,Sparkling wine item 100178,02 - Sparkling wine,02 - Sparkling wine subgroup 2,2028,SST
100178,Sparkling wine item 100178,02 - Sparkling wine,02 - Sparkling wine subgroup 2,2029,SST
100178,Sparkling wine item 100178,02 - Sparkling wine,02 - Sparkling wine subgroup 2,2030,VCO
100178,Sparkling wine item 100178,02 - Sparkling wine,02 - Sparkling wine subgroup 2,2031,SST
100095,Dairy item 100095,05 - Dairy,01 - Dairy subgroup 1,2027,SST
100095,Dairy item 100095,05 - Dairy,01 - Dairy subgroup 1,2028,
100095,Dairy item 100095,05 - Dairy,01 - Dairy subgroup 1,2029,SST
100095,Dairy item 100095,05 - Dairy,01 - Dairy subgroup 1,2030,VCO
100095,Dairy item 100095,05 - Dairy,01 - Dairy subgroup 1,2031,SST
100190,Meat item 100190,09 - Meat,05 - Meat subgroup 5,2027,
100190,Meat item 100190,09 - Meat,05 - Meat subgroup 5,2028,SST
100190,Meat item 100190,09 - Meat,05 - Meat subgroup 5,2029,
100190,Meat item 100190,09 - Meat,05 - Meat subgroup 5,2030,
100190,Meat item 100190,09 - Meat,05 - Meat subgroup 5,2031,
100062,Sparkling wine item 100062,02 - Sparkling wine,03 - Sparkling wine subgroup 3,2027,
100062,Sparkling wine item 100062,02 - Sparkling wine,03 - Sparkling wine subgroup 3,2028,
100062,Sparkling wine item 100062,02 - Sparkling wine,03 - Sparkling wine subgroup 3,2029,SST
100062,Sparkling wine item 100062,02 - Sparkling wine,03 - Sparkling wine subgroup 3,2030,
100062,Sparkling wine item 100062,02 - Sparkling wine,03 - Sparkling wine subgroup 3,2031,SST
100108,Produce item 100108,06 - Produce,04 - Produce subgroup 4,2027,SST
100108,Produce item 100108,06 - Produce,04 - Produce subgroup 4,2028,
100108,Produce item 100108,06 - Produce,04 - Produce subgroup 4,2029,SST
100108,Produce item 100108,06 - Produce,04 - Produce subgroup 4,2030,VCO
100108,Produce item 100108,06 - Produce,04 - Produce subgroup 4,2031,
100115,Wine item 100115,03 - Wine,01 - Wine subgroup 1,2027,VCO
100115,Wine item 100115,03 - Wine,01 - Wine subgroup 1,2028,SST
100115,Wine item 100115,03 - Wine,01 - Wine subgroup 1,2029,SST
100115,Wine item 100115,03 - Wine,01 - Wine subgroup 1,2030,SST
100115,Wine item 100115,03 - Wine,01 - Wine subgroup 1,2031,SST
100010,Seafood item 100010,12 - Seafood,01 - Seafood subgroup 1,2027,SST
100010,Seafood item 100010,12 - Seafood,01 - Seafood subgroup 1,2028,SST
100010,Seafood item 100010,12 - Seafood,01 - Seafood subgroup 1,2029,SST
100010,Seafood item 100010,12 - Seafood,01 - Seafood subgroup 1,2030,VCO
100010,Seafood item 100010,12 - Seafood,01 - Seafood subgroup 1,2031,SST
100000,Beverage item 100000,11 - Beverage,01 - Beverage subgroup 1,2027,SST
100000,Beverage item 100000,11 - Beverage,01 - Beverage subgroup 1,2028,SST
100000,Beverage item 100000,11 - Beverage,01 - Beverage subgroup 1,2029,SST
100000,Beverage item 100000,11 - Beverage,01 - Beverage subgroup 1,2030,SST
100000,Beverage item 100000,11 - Beverage,01 - Beverage subgroup 1,2031,VCO
100158,Sparkling wine item 100158,02 - Sparkling wine,04 - Sparkling wine subgroup 4,2027,SST
100158,Sparkling wine item 100158,02 - Sparkling wine,04 - Sparkling wine subgroup 4,2028,VCO
100158,Sparkling wine item 100158,02 - Sparkling wine,04 - Sparkling wine subgroup 4,2029,SST
